,Provincia,Variable,Cantidad,Unit
207,Girona,15/6-15/9,132,S-ha
208,Lleida,15/6-15/9,362,S-ha
209,Tarragona,15/6-15/9,180,S-ha
210,Illes Balears,15/6-15/9,0,S-ha
211,Ávila,15/6-15/9,245,S-ha
212,Burgos,15/6-15/9,688,S-ha
213,León,15/6-15/9,49,S-ha
214,Palencia,15/6-15/9,0,S-ha
215,Salamanca,15/6-15/9,2430,S-ha
216,Segovia,15/6-15/9,500,S-ha
217,Soria,15/6-15/9,0,S-ha
218,Valladolid,15/6-15/9,1498,S-ha
219,Zamora,15/6-15/9,451,S-ha
220,Madrid,15/6-15/9,69,S-ha
221,Albacete,15/6-15/9,885,S-ha
222,Ciudad Real,15/6-15/9,160,S-ha
223,Cuenca,15/6-15/9,75,S-ha
224,Guadalajara,15/6-15/9,22,S-ha
225,Toledo,15/6-15/9,44,S-ha
226,Alacant/Alicante,15/6-15/9,249,S-ha
227,Castellón/Castelló,15/6-15/9,194,S-ha
228,Valencia/València,15/6-15/9,101,S-ha
229,Murcia,15/6-15/9,1077,S-ha
230,Badajoz,15/6-15/9,579,S-ha
231,Cáceres,15/6-15/9,300,S-ha
232,Almería,15/6-15/9,238,S-ha
233,Cádiz,15/6-15/9,640,S-ha
234,Córdoba,15/6-15/9,382,S-ha
235,Granada,15/6-15/9,645,S-ha
236,Huelva,15/6-15/9,150,S-ha
237,Jaén,15/6-15/9,77,S-ha
238,Málaga,15/6-15/9,291,S-ha
239,Sevilla,15/6-15/9,600,S-ha
240,A Coruña,15/6-15/9,112952,P-t
241,Lugo,15/6-15/9,71978,P-t
242,Ourense,15/6-15/9,211653,P-t
243,Pontevedra,15/6-15/9,53054,P-t
244,Asturias,15/6-15/9,18000,P-t
245,Cantabria,15/6-15/9,750,P-t
246,Araba/Álava,15/6-15/9,16720,P-t
247,Gipuzkoa,15/6-15/9,3314,P-t
248,Bizkaia,15/6-15/9,3132,P-t
249,Navarra,15/6-15/9,7063,P-t
250,La Rioja,15/6-15/9,38775,P-t
251,Huesca,15/6-15/9,0,P-t
252,Teruel,15/6-15/9,110,P-t
253,Zaragoza,15/6-15/9,8304,P-t
254,Barcelona,15/6-15/9,3654,P-t
255,Girona,15/6-15/9,4085,P-t
256,Lleida,15/6-15/9,7325,P-t
257,Tarragona,15/6-15/9,3600,P-t
258,Illes Balears,15/6-15/9,0,P-t
259,Ávila,15/6-15/9,10290,P-t
260,Burgos,15/6-15/9,28000,P-t
261,León,15/6-15/9,1568,P-t
262,Palencia,15/6-15/9,0,P-t
263,Salamanca,15/6-15/9,102060,P-t
264,Segovia,15/6-15/9,22500,P-t
265,Soria,15/6-15/9,0,P-t
266,Valladolid,15/6-15/9,67410,P-t
267,Zamora,15/6-15/9,22550,P-t
268,Madrid,15/6-15/9,1751,P-t
269,Albacete,15/6-15/9,26108,P-t
270,Ciudad Real,15/6-15/9,4800,P-t
271,Cuenca,15/6-15/9,1072,P-t
272,Guadalajara,15/6-15/9,500,P-t
273,Toledo,15/6-15/9,1100,P-t
274,Alacant/Alicante,15/6-15/9,6972,P-t
275,Castellón/Castelló,15/6-15/9,4421,P-t
276,Valencia/València,15/6-15/9,4848,P-t
277,Murcia,15/6-15/9,34420,P-t
278,Badajoz,15/6-15/9,24608,P-t
279,Cáceres,15/6-15/9,12000,P-t
280,Almería,15/6-15/9,6209,P-t
281,Cádiz,15/6-15/9,16320,P-t
282,Córdoba,15/6-15/9,15280,P-t
283,Granada,15/6-15/9,16378,P-t
284,Huelva,15/6-15/9,4500,P-t
285,Jaén,15/6-15/9,1807,P-t
286,Málaga,15/6-15/9,7828,P-t
287,Sevilla,15/6-15/9,17996,P-t
288,A Coruña,15/9-15/1,52,S-ha
289,Lugo,15/9-15/1,619,S-ha
290,Ourense,15/9-15/1,618,S-ha
291,Pontevedra,15/9-15/1,22,S-ha
292,Asturias,15/9-15/1,0,S-ha
293,Cantabria,15/9-15/1,112,S-ha
294,Araba/Álava,15/9-15/1,853,S-ha
295,Gipuzkoa,15/9-15/1,0,S-ha
296,Bizkaia,15/9-15/1,10,S-ha
297,Navarra,15/9-15/1,253,S-ha
298,La Rioja,15/9-15/1,406,S-ha
299,Huesca,15/9-15/1,0,S-ha
300,Teruel,15/9-15/1,234,S-ha
301,Zaragoza,15/9-15/1,52,S-ha
302,Barcelona,15/9-15/1,52,S-ha
303,Girona,15/9-15/1,95,S-ha
304,Lleida,15/9-15/1,6,S-ha
305,Tarragona,15/9-15/1,0,S-ha
306,Illes Balears,15/9-15/1,280,S-ha
307,Ávila,15/9-15/1,1038,S-ha
308,Burgos,15/9-15/1,1578,S-ha
309,León,15/9-15/1,1478,S-ha
310,Palencia,15/9-15/1,962,S-ha
311,Salamanca,15/9-15/1,1710,S-ha
312,Segovia,15/9-15/1,1630,S-ha
313,Soria,15/9-15/1,457,S-ha
314,Valladolid,15/9-15/1,3595,S-ha
315,Zamora,15/9-15/1,493,S-ha
316,Madrid,15/9-15/1,31,S-ha
317,Albacete,15/9-15/1,200,S-ha
318,Ciudad Real,15/9-15/1,301,S-ha
319,Cuenca,15/9-15/1,90,S-ha
320,Guadalajara,15/9-15/1,0,S-ha
321,Toledo,15/9-15/1,134,S-ha
322,Alacant/Alicante,15/9-15/1,286,S-ha
323,Castellón/Castelló,15/9-15/1,107,S-ha
324,Valencia/València,15/9-15/1,74,S-ha
325,Murcia,15/9-15/1,315,S-ha
326,Badajoz,15/9-15/1,0,S-ha
327,Cáceres,15/9-15/1,0,S-ha
328,Almería,15/9-15/1,77,S-ha
329,Cádiz,15/9-15/1,305,S-ha
330,Córdoba,15/9-15/1,70,S-ha
331,Granada,15/9-15/1,92,S-ha
332,Huelva,15/9-15/1,80,S-ha
333,Jaén,15/9-15/1,37,S-ha
334,Málaga,15/9-15/1,248,S-ha
335,Sevilla,15/9-15/1,100,S-ha
336,A Coruña,15/9-15/1,1026,P-t
337,Lugo,15/9-15/1,11619,P-t
338,Ourense,15/9-15/1,11964,P-t
339,Pontevedra,15/9-15/1,369,P-t
340,Asturias,15/9-15/1,0,P-t
341,Cantabria,15/9-15/1,2800,P-t
342,Araba/Álava,15/9-15/1,34459,P-t
343,Gipuzkoa,15/9-15/1,0,P-t
344,Bizkaia,15/9-15/1,243,P-t
345,Navarra,15/9-15/1,5478,P-t
346,La Rioja,15/9-15/1,20641,P-t
347,Huesca,15/9-15/1,0,P-t
348,Teruel,15/9-15/1,4398,P-t
349,Zaragoza,15/9-15/1,1547,P-t
350,Barcelona,15/9-15/1,1069,P-t
351,Girona,15/9-15/1,1955,P-t
352,Lleida,15/9-15/1,120,P-t
353,Tarragona,15/9-15/1,0,P-t
354,Illes Balears,15/9-15/1,8770,P-t
355,Ávila,15/9-15/1,54495,P-t
356,Burgos,15/9-15/1,59964,P-t
357,León,15/9-15/1,51730,P-t
358,Palencia,15/9-15/1,39507,P-t
359,Salamanca,15/9-15/1,82080,P-t
360,Segovia,15/9-15/1,65200,P-t
361,Soria,15/9-15/1,17138,P-t
362,Valladolid,15/9-15/1,168965,P-t
363,Zamora,15/9-15/1,24650,P-t
364,Madrid,15/9-15/1,713,P-t
365,Albacete,15/9-15/1,5600,P-t
366,Ciudad Real,15/9-15/1,9030,P-t
367,Cuenca,15/9-15/1,1203,P-t
368,Guadalajara,15/9-15/1,0,P-t
369,Toledo,15/9-15/1,2881,P-t
370,Alacant/Alicante,15/9-15/1,6864,P-t
371,Castellón/Castelló,15/9-15/1,1433,P-t
372,Valencia/València,15/9-15/1,2775,P-t
373,Murcia,15/9-15/1,5135,P-t
374,Badajoz,15/9-15/1,0,P-t
375,Cáceres,15/9-15/1,0,P-t
376,Almería,15/9-15/1,1713,P-t
377,Cádiz,15/9-15/1,7690,P-t
378,Córdoba,15/9-15/1,2450,P-t
379,Granada,15/9-15/1,2253,P-t
380,Huelva,15/9-15/1,1760,P-t
381,Jaén,15/9-15/1,694,P-t
382,Málaga,15/9-15/1,4764,P-t
383,Sevilla,15/9-15/1,3000,P-t
